genotype,plate,gompertz_mu_max,gompertz_doubling_time,gompertz_carrying_capacity,gompertz_lag_time,gompertz_r2
b4109,Plate 37 Trial 3,0.732172213,0.946699654,1.75498176,0.113503603,0.990560449
b4115,Plate 37 Trial 3,0.729607995,0.950026844,1.806802463,0.160665359,0.991606368
b4121,Plate 37 Trial 3,0.737125452,0.940338146,1.773577917,0.164578158,0.990748755
b4126,Plate 37 Trial 3,0.731927829,0.947015748,1.722695718,0.140576777,0.989535381
b4127,Plate 37 Trial 3,0.709343923,0.977166588,1.800811193,0.187772912,0.993493798
b4128,Plate 37 Trial 3,0.682559436,1.015511828,1.80579062,0.135589135,0.993666001
b4130,Plate 37 Trial 3,0.752437774,0.921201998,2.108371268,1.121700728,0.997664553
b4141,Plate 37 Trial 3,0.591198086,1.172444899,1.418750751,-0.037176886,0.987379356
b4145,Plate 37 Trial 3,0.69112093,1.002931832,1.677340228,0.071074544,0.991819822
b4157,Plate 37 Trial 3,0.723338213,0.958261527,1.745413267,0.140265956,0.991216155
b4158,Plate 37 Trial 3,0.701051165,0.988725525,1.838376711,0.195292051,0.99431098
b4159,Plate 37 Trial 3,0.747013172,0.927891511,1.904504168,0.261779838,0.993387334
b4166,Plate 37 Trial 3,0.685399135,1.011304429,1.690551575,0.068204441,0.991355209
b4176,Plate 37 Trial 3,0.501470443,1.382229381,1.687065965,-0.099076655,0.990764831
b4178,Plate 37 Trial 3,0.240334146,2.884097793,1.474233071,5.073833838,0.997064627
b4181,Plate 37 Trial 3,0.615941218,1.125346316,1.643395621,0.00999927,0.990872582
b4182,Plate 37 Trial 3,0.580383724,1.194291211,1.687759597,0.080199221,0.991396232
b4183,Plate 37 Trial 3,0.582172415,1.19062182,1.718165516,0.16653728,0.992313648
b4184,Plate 37 Trial 3,0.345369085,2.00697518,1.525964496,3.021681623,0.998673383
b4185,Plate 37 Trial 3,0.679074194,1.020723783,1.671680458,0.095864148,0.990190354
b4186,Plate 37 Trial 3,0.819871813,0.845433603,1.679669617,0.084082067,0.989054124
b3696,Plate 89 Trial 1,0.604040714,1.147517319,1.792370927,0.23961555,0.995225497
b3691,Plate 89 Trial 1,0.55419021,1.250738768,1.677409188,0.434201519,0.994851539
b3689,Plate 89 Trial 1,0.576264006,1.202829213,1.776165862,0.30616435,0.995628629
b3657,Plate 89 Trial 1,0.569783058,1.216510688,1.553707969,0.178208653,0.992861843
b3443,Plate 89 Trial 1,0.588554807,1.177710508,1.623609908,0.193203087,0.993259413
b3390,Plate 89 Trial 1,0.461888745,1.500679953,1.508523304,-0.083811455,0.984120671
b4192,Plate 89 Trial 1,0.550783294,1.258475318,1.468919929,0.345283312,0.993487407
b4338,Plate 89 Trial 1,0.598093321,1.158928141,1.698762854,0.425611285,0.994779543
b4346,Plate 89 Trial 1,0.555203167,1.24845682,1.727685895,0.306834306,0.994767594
b4375,Plate 89 Trial 1,0.527392468,1.314291013,1.637096926,0.276539227,0.991595545
b1841,Plate 89 Trial 1,0.567466388,1.22147707,1.510862075,0.090414274,0.99163259
b0496,Plate 89 Trial 1,0.621652357,1.115007725,1.891986706,0.510219869,0.996286278
b0699,Plate 89 Trial 1,0.55172305,1.256331743,1.589526398,0.287943851,0.99493225
b1029,Plate 89 Trial 1,0.62962196,1.100894226,1.646413691,0.393231163,0.98844245
b2760,Plate 89 Trial 1,0.532261662,1.302267719,1.514395659,0.379696063,0.99334756
b1275,Plate 89 Trial 1,0.511647456,1.354735908,1.517055876,0.190291179,0.989638866
b0167,Plate 89 Trial 1,0.6209427,1.116282035,1.697217775,0.481814475,0.994639071
b2057,Plate 89 Trial 1,0.594063407,1.166789896,1.668773549,0.24739586,0.992955441
b0492,Plate 89 Trial 1,0.526822731,1.315712364,1.646769866,0.369918763,0.994318156
b0715,Plate 89 Trial 1,0.585127959,1.184607863,1.816799587,0.354690882,0.995134608
b0841,Plate 89 Trial 1,0.453727718,1.52767211,1.3198223,0.167699123,0.990453624
b0982,Plate 89 Trial 1,0.497737126,1.392596905,1.526818341,0.159057806,0.994289977
b0993,Plate 89 Trial 1,0.553478391,1.252347321,1.747146741,0.378719004,0.992202937
b1007,Plate 89 Trial 1,0.50631916,1.368992594,1.771301655,0.233116611,0.995159436
b4521,Plate 89 Trial 1,0.583106043,1.188715481,1.933262334,0.303856277,0.996110416
b4476,Plate 89 Trial 1,0.593385382,1.168123114,1.648327849,0.438781779,0.994978727
b3412,Plate 89 Trial 1,0.541046107,1.281124051,1.630732474,0.367433242,0.993510354
