CommonName,bID,GenBankID,OMV.Trial1,OMV.Trial2,OMV.Trial3,OMV.Trial4,OMV.Trial5,average.log.OMV,antilog.OMV.Trial1,antilog.OMV.Trial2,antilog.OMV.Trial3,antilog.OMV.Trial4,antilog.OMV.Trial5,average.antilog.omv,stdev.antilog
astB,b1745,946259,-0.19110811,-0.088947072,NA,NA,NA,-0.140027591,0.644008931,0.814803579,,,,0.729406255,0.120770054
astD,b1746,946260,0.187029735,0.146747097,NA,NA,NA,0.166888416,1.538259957,1.401997041,,,,1.470128499,0.096352432
astA,b1747,946261,0.341235936,-0.218763746,0.076739848,NA,NA,0.066404012,2.193996528,0.604277264,1.193273093,,,1.330515628,0.803696753
astC,b1748,946255,0.129829068,-0.00785364,NA,NA,NA,0.060987714,1.348432055,0.982078854,,,,1.165255454,0.259050833
xthA,b1749,946254,0.000595006,-0.406799779,NA,NA,NA,-0.203102387,1.001370991,0.391922522,,,,0.696646756,0.430945145
ydjX,b1750,946250,-0.267984471,-0.379447232,NA,NA,NA,-0.323715852,0.539529914,0.417400311,,,,0.478465112,0.086358671
ydjY,b1751,946248,-0.332982864,-0.036636447,NA,NA,NA,-0.184809656,0.464533604,0.919101665,,,,0.691817635,0.321428159
ydjZ,b1752,946269,-0.095058008,-0.162911351,NA,NA,NA,-0.12898468,0.803418804,0.6872087,,,,0.745313752,0.082172952
ynjA,b1753,946270,0.134613032,-0.182730285,NA,NA,NA,-0.024058627,1.363367798,0.656552886,,,,1.009960342,0.499793617
ynjB,b1754,946271,0.234499631,0.131031092,NA,NA,NA,0.182765362,1.715930252,1.352169364,,,,1.534049808,0.257217791
ynjC,b1755,946273,0.071367048,-0.054812366,NA,NA,NA,0.008277341,1.178601659,0.881429606,,,,1.030015633,0.210132373
ynjD,b1756,944965,0.145363218,-0.014202965,NA,NA,NA,0.065580127,1.397536689,0.967825443,,,,1.182681066,0.303851736
ynjE,b1757,946505,-0.150814526,-0.115772052,NA,NA,NA,-0.133293289,0.706619265,0.765998551,,,,0.736308908,0.041987495
ynjF,b1758,946221,0.048007726,0.020001078,NA,NA,NA,0.034004402,1.116883117,1.047131147,,,,1.082007132,0.049322091
nudG,b1759,946277,-0.126967875,-0.303632988,NA,NA,NA,-0.215300432,0.746503976,0.497012157,,,,0.621758066,0.176417357
ynjH,b1760,946279,-0.145551136,0.105358682,NA,NA,NA,-0.020096227,0.715235174,1.274555296,,,,0.994895235,0.395499052
gdhA,b1761,946802,0.62045639,0.506173052,0.553073531,0.558903074,NA,0.559651512,4.173076921,3.207547171,3.573333336,3.621621619,,3.643894762,0.398291344
ynjI,b1762,946239,-0.176753462,0.079192899,NA,NA,NA,-0.048780282,0.665650922,1.200032199,,,,0.93284156,0.377864624
topB,b1763,946141,0.093555622,-0.086711077,NA,NA,NA,0.003422273,1.240382476,0.819009469,,,,1.029695973,0.297955711
selD,b1764,946768,-0.322901508,-0.203735821,NA,NA,NA,-0.263318665,0.475443038,0.625553098,,,,0.550498068,0.106143841
ydjA,b1765,945964,0.197810509,-0.03044465,NA,NA,NA,0.08368293,1.576923078,0.932299283,,,,1.25461118,0.455817857
sppA,b1766,946281,-0.103138281,0.005619053,NA,NA,NA,-0.048759614,0.788608982,1.01302241,,,,0.900815696,0.158684257
ansA,b1767,946278,-0.228845999,-0.07650652,NA,NA,NA,-0.15267626,0.590410403,0.838481491,,,,0.714445947,0.175412748
pncA,b1768,946276,0.02828502,0.026538288,NA,NA,NA,0.027411654,1.06729634,1.063012296,,,,1.065154318,0.003029276
ydjE,b1769,946274,-0.183817692,-0.453225651,NA,NA,NA,-0.318521672,0.654911035,0.352187834,,,,0.503549434,0.214057628
ydjF,b1770,946272,0.181929051,0.202345222,NA,NA,NA,0.192137137,1.520299144,1.593474882,,,,1.556887013,0.05174306
ydjG,b1771,946283,0.242507451,0.136314889,NA,NA,NA,0.18941117,1.747863249,1.368720869,,,,1.558292059,0.268094148
ydjH,b1772,946285,-0.377967276,-0.036636447,NA,NA,NA,-0.207301862,0.418825122,0.919101665,,,,0.668963394,0.353748936
ydjI,b1773,946291,0.229574649,-0.025849522,NA,NA,NA,0.101862564,1.696581195,0.942216007,,,,1.319398601,0.53341674
ydjJ,b1774,946292,-0.241301563,-0.273366899,NA,NA,NA,-0.257334231,0.573717949,0.532884516,,,,0.553301232,0.028873597
ydjK,b1775,946293,-0.015406647,0.0112563,NA,NA,NA,-0.002075174,0.965146751,1.026257396,,,,0.995702073,0.043211752
ydjL,b1776,946299,-0.026409015,-0.033270604,NA,NA,NA,-0.02983981,0.94100295,0.926252506,,,,0.933627728,0.010430139
yeaC,b1777,947074,-0.278110185,-0.152557133,NA,NA,NA,-0.215333659,0.527096115,0.703789636,,,,0.615442875,0.124941187
yeaA,b1778,947188,0.236627682,0.244435894,NA,NA,NA,0.240531788,1.724358976,1.755641726,,,,1.740000351,0.022120245
